Key,Value
Total Entries,30
Most Common Organization,Kasvatus ja oppiminen, Varhaiskasvatus
Most Common Job Title,Työllisyysasiantuntija
Total Postings,30
Average,2.14
Minimum,1
Maximum,7
Standard Deviation,1.68
Organization,Number of job posted
"Kasvatus ja oppiminen, Varhaiskasvatus",7
"Konserninjohto ja elinvoima, Elinvoimapalveluiden palvelualue",4
"Konserninjohto ja elinvoima, Konsernipalvelut",3
"Vanda stad, Fostran och lärande, Svenskspr&aring;kiga servicen",3
"Kasvatus ja oppiminen, Perusopetus",3
"Konserninjohto ja elinvoima, Työllisyyden ja kotoutumisen palvelualue",2
"Konserniyhteisöt, Vantti Oy",1
"Kaupunkiympäristö, Kadut ja puistot",1
"Kaupunkikulttuuri ja hyvinvointi, Kulttuuri- ja kirjastopalvelut",1
"Kasvatus ja oppiminen, Yhteiset palvelut, Kalustonkunnostus",1
"Kasvatus ja oppiminen, Toisen asteen koulutus",1
"Oletko näppärä käsistäsi? Nikkaroitko mielelläsi? Kädentaitopajalla pääset tekemään erilaisia käsitöitä, kuten ompelua, sisustus- ja somistustuotteita, keramiikkaa sekä puu- ja pintakäsittelytöitä. Työkokeiluun kuuluu pienryhmävalmennuksia ja liikuntaa. Työaika maanantaista perjantaihin&nbsp;9-15. &nbsp;Saat tukea asioiden hoitoon ja tulevaisuuden suunnitteluun, kuten työ- ja opiskelupaikan hakuun.&nbsp;Nuorten työpajat on tarkoitettu vantaalaisille&nbsp;18-28&nbsp;-vuotiaille työttömille työnhakijoille. Ohjaus tapahtuu&nbsp;suomenkielellä. Kielitaidon tulee olla sellainen, että ymmärtää ohjeet suomeksi.&nbsp;Lisätietoja työpajojen nuorisoneuvojilta:&nbsp;&nbsp;Tuija Heikkilä 050 303 4778, Henna&nbsp;Utkan&nbsp;0400 591 626,&nbsp;nuorisoneuvojat@vantaa.fi&nbsp;https://www.vantaa.fi/fi/palveluhakemisto/palvelu/nuorten-tyopajat&nbsp;Työpajojen toimintaa esitellään joka maanantai kello 13.00. Aloitus monitoimitila Liidon aulasta (Lummetie 2 b C-rappu) Tervetuloa!&nbsp;Kyseessä on työkokeilupaikka, joten varmistathan mahdollisuutesi työkokeiluun työllisyyspalvelujen omavalmentajalta.&nbsp;&nbsp;Jos kiinnostuit- hae tästä työkokeiluun:&nbsp;Hakemus työpajoille&nbsp;",1
"Viihdytkö läppärillä/koneella? Kiinnostaako kulttuuri ja hyvinvointi? Kulttuuripajalla pääset mm. tuottamaan somesisältöjä sekä valo- ja videokuvaamaan. Työkokeiluun kuuluu pienryhmävalmennuksia ja liikuntaa. Työaika maanantaista perjantaihin klo 9-15. Saat tukea asioiden hoitoon ja tulevaisuuden suunnitteluun, kuten työ- ja opiskelupaikan hakuun.&nbsp;Nuorten työpajat on tarkoitettu vantaalaisille 18-28 -vuotiaille työttömille työnhakijoille. Ohjaus tapahtuu suomenkielellä. Kielitaidon tulee olla sellainen, että ymmärtää ohjeet suomeksi.&nbsp;Lisätietoja työpajojen nuorisoneuvojilta: &nbsp;Tuija Heikkilä p. 050 303 4778, Henna Utkan p. 0400 59 1626, nuorisoneuvojat@vantaa.fi&nbsp;https://www.vantaa.fi/fi/palveluhakemisto/palvelu/nuorten-tyopajat&nbsp;Työpajojen toimintaa esitellään joka maanantai klo 13. Aloitus monitoimitila Liidon aulasta (Lummetie 2 b C-rappu). Tervetuloa! &nbsp;Kyseessä on työkokeilupaikka, joten varmistathan mahdollisuutesi työkokeiluun työllisyyspalveluiden omavalmentajaltasi.&nbsp;Jos kiinnostuit - &nbsp;hae tästä työkokeiluun: Hakemus työpajoille&nbsp;",1
"Tykkäätkö kokata tai leipoa? Kiinnostaako kahvilatyö? Keittiöpajalla pääset tekemään päivittäin lounasta koko pajayhteisölle ammattikeittiössä. Keittiöpajan suositussa kahvila Kuussa pääset treenaamaan erikoiskahvien valmistusta ja asiakaspalvelua. Työkokeilun aikana suoritat hygieniapassin. Työkokeiluun kuuluu pienryhmävalmennuksia ja liikuntaa. Työaika on maanantaista perjantaihin kello 9-15. Saat tukea asioiden hoitoon ja tulevaisuuden suunnitteluun, kuten työ- ja opiskelupaikan hakuun.&nbsp;Nuorten työpajat on tarkoitettu vantaalaisille 18-28 -vuotiaille työttömille työnhakijoille. Ohjaus tapahtuu suomenkielellä. Kielitaidon tulee olla sellainen, että ymmärtää ohjeet suomeksi.&nbsp;Lisätietoja työpajojen nuorisoneuvojilta: &nbsp;Tuija Heikkilä 050 303 4778, Henna Utkan 0400 591 626, nuorisoneuvojat@vantaa.fi&nbsp;https://www.vantaa.fi/fi/palveluhakemisto/palvelu/nuorten-tyopajat&nbsp;Työpajojen toimintaa esitellään joka maanantai kello 13.00. Aloitus monitoimitila Liidon aulasta (Lummetie 2 b C-rappu) Tervetuloa!&nbsp;Kyseessä on työkokeilupaikka, joten varmistathan mahdollisuutesi työkokeiluun työllisyyspalvelujen omavalmentajalta. &nbsp;Jos kiinnostuit- hae tästä työkokeiluun: Hakemus työpajoille&nbsp;",1

Job Titles (Kasvatus ja oppiminen, Toisen asteen koulutus),Job Title,Number of job posted
"Opiskeluvalmentaja lukioon, Tikkurilan ja Sotungin lukiot",1
